flow_peak_datetime,peak_flow_m3s,peak_hour,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,maximum_hourly_rainfall_mm,hours_from_rainfall_maximum_to_flow_peak,mean_disaggregation_fraction,maximum_disaggregation_fraction,maximum_gauge_distance_km
2009-11-01 18:45:00,31.564,2009-11-01 18:00:00,33.904,36.66,38.197,6.687,2.0,0.0,0.0,15.8312
2009-11-19 11:00:00,21.827,2009-11-19 11:00:00,20.807000000000002,26.051000000000002,31.363,5.247999999999999,5.0,0.0,0.0,15.8312
2010-01-16 11:00:00,24.874,2010-01-16 11:00:00,9.027999999999999,10.817,12.516,2.651,6.0,0.0,0.0,15.8312
2010-02-26 09:30:00,26.328,2010-02-26 09:00:00,18.605000000000004,36.065000000000005,38.462,4.092,36.0,0.186027397260274,0.55,15.8312
2010-03-30 19:45:00,29.665,2010-03-30 19:00:00,33.504,41.424,45.17100000000001,2.129,52.0,0.20342465753424657,0.99,15.8312
2010-12-11 02:45:00,23.698,2010-12-11 02:00:00,0.0509999999999999,0.606,0.606,0.545,39.0,0.6031506849315069,0.92,15.8312
2011-02-07 12:00:00,26.97,2011-02-07 12:00:00,24.476000000000003,26.572000000000003,42.620999999999995,4.696000000000001,6.0,0.3287671232876712,1.0,7.248399999999999
2011-03-14 09:45:00,18.77,2011-03-14 09:00:00,15.128999999999998,26.839999999999996,32.611999999999995,2.573,43.0,0.0,0.0,7.248399999999999
2011-07-16 19:30:00,26.885,2011-07-16 19:00:00,18.310000000000002,19.136,19.136,3.69,14.0,0.5482191780821919,1.0,7.248399999999999
2011-08-11 15:15:00,32.739,2011-08-11 15:00:00,49.896,62.782,62.782,7.145,16.0,0.27260273972602733,1.0,7.248399999999999
2011-10-17 18:15:00,38.27,2011-10-17 18:00:00,31.465000000000003,32.248000000000005,32.32,9.279,3.0,0.4690410958904109,1.0,7.248399999999999
2011-12-08 10:30:00,18.38,2011-12-08 10:00:00,11.647999999999998,20.365000000000002,20.99,4.584999999999999,4.0,0.062465753424657544,0.19,7.248399999999999
2012-06-17 01:45:00,20.276,2012-06-17 01:00:00,29.705000000000002,42.754,42.802,3.439,7.0,0.1232876712328767,1.0,7.248399999999999
2012-06-22 07:45:00,19.079,2012-06-22 07:00:00,27.167,27.321,27.321,6.283,3.0,0.4232876712328768,1.0,7.248399999999999
2012-07-07 08:30:00,48.645,2012-07-07 08:00:00,26.088,27.346000000000004,44.44,7.514999999999999,64.0,0.0,0.0,7.248399999999999
2012-09-26 08:45:00,22.154,2012-09-26 08:00:00,15.86,38.564,40.309,4.038,2.0,0.014794520547945207,0.54,7.248399999999999
2012-10-12 08:15:00,24.656,2012-10-12 08:00:00,38.686,38.696,38.745,3.359,13.0,0.6832876712328767,1.0,7.248399999999999
2012-10-16 12:45:00,20.305,2012-10-16 12:00:00,16.545,19.312,22.739,2.7310000000000003,3.0,0.0,0.0,7.248399999999999
2013-12-30 15:00:00,28.404,2013-12-30 15:00:00,28.516,30.091,45.087,4.09,6.0,0.029589041095890414,0.09,6.3647
2014-12-22 07:45:00,19.759,2014-12-22 07:00:00,26.107999999999997,26.709,31.822999999999997,2.838,10.0,0.18082191780821918,0.55,6.3647
2015-12-06 09:00:00,30.44,2015-12-06 09:00:00,30.044000000000004,50.55500000000001,78.24799999999999,4.194,4.0,0.0,0.0,6.3647
2015-12-26 20:00:00,24.036,2015-12-26 20:00:00,37.036,39.483000000000004,57.008,5.773,63.0,0.0,0.0,6.3647
2016-01-10 21:15:00,21.619,2016-01-10 21:00:00,35.891999999999996,37.824,40.111999999999995,4.903999999999999,22.0,0.14465753424657535,0.44,6.3647
2016-01-27 14:15:00,18.714,2016-01-27 14:00:00,17.875999999999998,37.528000000000006,37.879999999999995,3.881,28.0,0.2712328767123287,0.99,6.3647
