flow_peak_datetime,peak_flow_m3s,peak_hour,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,maximum_hourly_rainfall_mm,hours_from_rainfall_maximum_to_flow_peak,mean_disaggregation_fraction,maximum_disaggregation_fraction,maximum_gauge_distance_km,month,season,water_year_angle,antecedent_7d_mm,antecedent_14d_mm,antecedent_30d_mm,antecedent_30d_anomaly_mm_per_day
2005-03-28 15:30:00,22.574,2005-03-28 15:00:00,24.157,30.339,31.203,3.281,1.0,0.0032876712328767,0.01,15.6414,3,spring,3.075246233394118,1.714,27.576,60.275999999999996,-0.020356451612903115
2005-10-12 01:15:00,21.266,2005-10-12 01:00:00,52.514,56.894,57.189,8.771999999999998,4.0,0.2761643835616438,0.84,15.8312,10,autumn,0.19025284277732707,2.493,21.126,53.278,-1.4507427956989247
2005-10-24 13:45:00,21.296,2005-10-24 13:00:00,25.169,29.975,36.733,5.594000000000001,2.0,0.0,0.0,15.8312,10,autumn,0.40578905108868163,4.3069999999999995,81.011,103.09400000000001,0.2097905376344089
2006-11-15 22:30:00,20.218,2006-11-15 22:00:00,23.569000000000003,30.687,33.773,3.262,2.0,0.0,0.0,15.8312,11,autumn,0.7907776028727733,23.367,36.244,94.40700000000001,0.07313600000000076
2007-06-25 03:30:00,18.77,2007-06-25 03:00:00,18.92,34.919,36.098,3.923000000000001,40.0,0.000958904109589,0.01,15.8312,6,summer,4.5987034928061545,38.623000000000005,59.74400000000001,88.37,0.5769720000000005
2007-08-19 06:00:00,24.376,2007-08-19 06:00:00,39.822,40.839,41.184,4.984,6.0,0.210958904109589,0.64,15.8312,8,summer,5.547277986955128,30.534999999999997,45.105,89.305,0.25066430107526916
2007-11-21 20:00:00,22.514,2007-11-21 20:00:00,35.574,38.597,46.858,2.989,4.0,0.0,0.0,15.8312,11,autumn,0.8898317989676009,15.879999999999999,20.503999999999998,45.547,-1.5555306666666664
2008-01-08 22:15:00,35.14,2008-01-08 22:00:00,13.233000000000002,28.872,29.319000000000003,4.874,3.0,0.0,0.0,15.8312,1,winter,1.7154655240145087,36.084999999999994,73.527,89.71900000000001,-0.19076451612903167
2008-02-29 18:45:00,20.507,2008-02-29 18:00:00,17.156,17.509,17.671,6.144000000000001,2.0,0.3517808219178082,0.99,15.8312,2,winter,2.6056549724189932,32.602,32.973,85.42200000000001,0.2806979351032455
2008-08-07 03:00:00,34.64,2008-08-07 03:00:00,45.671,47.534,47.615,8.143,2.0,0.1545205479452054,0.47,15.8312,8,summer,5.341136690426909,42.248,42.421,104.112,0.7442309677419354
